,0
0,0.2612
1,0.265
2,0.0482
3,0.0509
4,0.1514
5,0.2652
6,0.2474
7,0.2128
8,0.261
9,0.0872
10,0.2287
11,0.2631
12,0.0702
13,0.1906
14,0.2627
15,0.0952
16,0.2092
17,0.1497
18,0.2625
19,0.1618
20,0.1979
21,0.0233
22,0.2702
23,0.2463
24,0.2574
25,0.2394
26,0.269
27,0.2243
28,0.2715
29,0.2627
30,0.2084
31,0.2593
32,0.274
33,0.0717
34,0.2725
35,0.2608
36,0.2426
37,0.2713
38,0.274
39,0.2679
40,0.2742
41,0.1195
42,0.2809
43,0.1945
44,0.2608
45,0.27
46,0.2763
47,0.2769
48,0.2805
49,0.2811
50,0.2803
51,0.2748
52,0.274
53,0.2564
54,0.2734
55,0.2769
56,0.2499
57,0.2679
58,0.282
59,0.2788
60,0.2721
61,0.2669
62,0.2788
63,0.2725
64,0.2795
65,0.2778
66,0.2805
67,0.2604
68,0.2799
69,0.2811
70,0.2813
71,0.2774
72,0.2826
73,0.2675
74,0.2774
75,0.0264
76,0.2742
77,0.2673
78,0.274
79,0.0872
80,0.2881
81,0.2526
82,0.2832
83,0.2721
84,0.2897
85,0.2784
86,0.2797
87,0.2799
88,0.292
89,0.2755
90,0.2878
91,0.2665
92,0.2843
93,0.2744
94,0.2805
95,0.1226
96,0.2816
97,0.2189
98,0.2811
99,0.2807
100,0.2765
101,0.2836
102,0.279
103,0.286
104,0.2805
105,0.2849
106,0.2824
107,0.266
108,0.2734
109,0.2799
110,0.2761
111,0.2845
112,0.2744
113,0.2841
114,0.2887
115,0.2711
116,0.2644
117,0.2836
118,0.2839
119,0.279
120,0.2803
121,0.2776
122,0.2769
123,0.2834
124,0.2742
125,0.2784
126,0.2816
127,0.2732
128,0.2623
129,0.2736
130,0.2748
131,0.2881
132,0.2904
133,0.2822
134,0.282
135,0.2744
136,0.279
137,0.2845
138,0.2755
139,0.278
140,0.2784
141,0.2887
142,0.2818
143,0.2901
144,0.279
145,0.2874
146,0.2855
147,0.2906
148,0.2782
149,0.2646
150,0.2671
151,0.2862
152,0.2769
153,0.2807
154,0.2488
155,0.2948
156,0.2767
157,0.2832
158,0.2757
159,0.2878
160,0.2868
161,0.2889
162,0.2824
163,0.2897
164,0.2839
165,0.2878
166,0.2872
167,0.2845
168,0.2901
169,0.2855
170,0.2895
171,0.2855
172,0.2881
173,0.286
174,0.2864
175,0.2885
176,0.2866
177,0.2811
178,0.2839
179,0.2824
180,0.2845
181,0.2904
182,0.2857
183,0.283
184,0.2916
185,0.2801
186,0.2839
187,0.2908
188,0.2872
189,0.286
190,0.2822
191,0.2952
192,0.2887
193,0.2979
194,0.2866
195,0.3002
196,0.2887
197,0.2916
198,0.2977
199,0.2805
200,0.2797
201,0.2472
202,0.2887
203,0.2866
204,0.283
205,0.2916
206,0.2883
207,0.2929
208,0.2897
209,0.2964
210,0.286
211,0.2956
212,0.2931
213,0.2759
214,0.2901
215,0.279
216,0.2809
217,0.2885
218,0.278
219,0.2813
220,0.2822
221,0.2688
222,0.2868
223,0.2832
224,0.2912
225,0.287
226,0.286
227,0.2826
228,0.2878
229,0.2801
230,0.2885
231,0.2878
232,0.2813
233,0.2792
234,0.2906
235,0.2853
236,0.2771
237,0.287
238,0.2908
239,0.2904
240,0.2878
241,0.2906
242,0.2939
243,0.2906
244,0.2866
245,0.2849
246,0.2958
247,0.2876
248,0.2878
249,0.2935
250,0.292
251,0.287
252,0.2828
253,0.3017
254,0.2864
255,0.295
256,0.2889
257,0.2878
258,0.2931
259,0.2876
260,0.2866
261,0.2895
262,0.2807
263,0.2782
264,0.2851
265,0.292
266,0.2839
267,0.2851
268,0.2906
269,0.2897
270,0.2975
271,0.2816
272,0.292
273,0.2883
274,0.2939
275,0.2931
276,0.2935
277,0.2954
278,0.2904
279,0.2906
280,0.2958
281,0.2851
282,0.2832
283,0.2713
284,0.2824
285,0.2881
286,0.2841
287,0.2878
288,0.2899
289,0.2916
290,0.2881
291,0.2941
292,0.292
293,0.2904
294,0.2958
295,0.2931
296,0.2973
297,0.2904
298,0.2958
299,0.2945
300,0.2929
301,0.2966
302,0.291
303,0.2966
304,0.3025
305,0.2945
306,0.2906
307,0.2918
308,0.2937
309,0.2937
310,0.2935
311,0.2929
312,0.2943
313,0.2939
314,0.2895
315,0.2822
316,0.2925
317,0.2895
318,0.2935
319,0.2937
320,0.2918
321,0.2969
322,0.2929
323,0.2868
324,0.2943
325,0.2925
326,0.2958
327,0.2933
328,0.2908
329,0.2914
330,0.2889
331,0.2912
332,0.2948
333,0.2906
334,0.2927
335,0.2887
336,0.2973
337,0.2872
338,0.2895
339,0.2937
340,0.2834
341,0.2906
342,0.286
343,0.2925
344,0.2809
345,0.2828
346,0.2883
347,0.2948
348,0.2845
349,0.2847
350,0.2897
351,0.2866
352,0.291
353,0.2904
354,0.2927
355,0.2891
356,0.2881
357,0.2912
358,0.2847
359,0.2927
360,0.2885
361,0.2912
362,0.2897
363,0.2914
364,0.2895
365,0.286
366,0.2916
367,0.2765
368,0.2834
369,0.2897
370,0.2908
371,0.2834
372,0.2855
373,0.2939
374,0.2964
375,0.2845
376,0.2847
377,0.2922
378,0.2931
379,0.2834
380,0.2899
381,0.2897
382,0.2908
383,0.2908
384,0.2889
385,0.2948
386,0.2849
387,0.2929
388,0.2874
389,0.2916
390,0.2945
391,0.2836
392,0.291
393,0.2843
394,0.2839
395,0.2929
396,0.287
397,0.2927
398,0.2912
399,0.2855
400,0.2874
401,0.2948
402,0.2927
403,0.2857
404,0.2895
405,0.2935
406,0.2901
407,0.2908
408,0.2933
409,0.2893
410,0.2952
411,0.2872
412,0.295
413,0.2889
414,0.2899
415,0.2956
416,0.2958
417,0.2857
418,0.2862
419,0.2971
420,0.2916
421,0.2922
422,0.2874
423,0.2964
424,0.2876
425,0.2943
426,0.2851
427,0.295
428,0.2895
429,0.2883
430,0.295
431,0.2845
432,0.2933
433,0.2906
434,0.2878
435,0.2945
436,0.2883
437,0.2881
438,0.2891
439,0.2891
440,0.2891
441,0.2914
442,0.2876
443,0.2883
444,0.2918
445,0.2904
446,0.2897
447,0.2889
448,0.2897
449,0.2908
450,0.2901
451,0.291
452,0.2904
453,0.2912
454,0.2925
455,0.2952
456,0.2958
457,0.2839
458,0.2899
459,0.2855
460,0.2811
461,0.283
462,0.2912
463,0.2839
464,0.2853
465,0.2874
466,0.2876
467,0.2899
468,0.2883
469,0.295
470,0.292
471,0.2943
472,0.2916
473,0.2929
474,0.292
475,0.291
476,0.2889
477,0.2933
478,0.2906
479,0.2868
480,0.2912
481,0.2885
482,0.2956
483,0.2904
484,0.2881
485,0.2971
486,0.2906
487,0.2931
488,0.2906
489,0.2893
490,0.2899
491,0.2901
492,0.2904
493,0.2918
494,0.2922
495,0.2937
496,0.292
497,0.2948
498,0.2929
499,0.2834
500,0.2845
501,0.2937
502,0.2876
503,0.2899
504,0.2843
505,0.2922
506,0.2927
507,0.2899
508,0.291
509,0.2887
510,0.2929
511,0.2893
512,0.2941
513,0.2878
514,0.2954
515,0.2899
516,0.2941
517,0.2891
518,0.291
519,0.2929
520,0.2862
521,0.2885
522,0.2899
523,0.2904
524,0.2931
525,0.2954
526,0.2864
527,0.2962
528,0.2945
529,0.2918
530,0.2914
531,0.2937
532,0.2895
533,0.2895
534,0.2916
535,0.2912
536,0.2881
537,0.2893
538,0.2887
539,0.2908
540,0.2885
541,0.2901
542,0.2916
543,0.2885
544,0.2939
545,0.2855
546,0.2916
547,0.2927
548,0.2832
549,0.2906
550,0.2931
551,0.2834
552,0.2904
553,0.2901
554,0.2933
555,0.2922
556,0.2895
557,0.2962
558,0.2868
559,0.2891
560,0.2925
561,0.2931
562,0.2918
563,0.2878
564,0.2874
565,0.2891
566,0.2941
567,0.283
568,0.2895
569,0.2897
570,0.2891
571,0.2893
572,0.2916
573,0.2927
574,0.2897
575,0.292
576,0.2891
577,0.2916
578,0.2874
579,0.2906
580,0.2862
581,0.2899
582,0.2908
583,0.2891
584,0.2849
585,0.291
586,0.2857
587,0.2901
588,0.2874
589,0.2864
590,0.2904
591,0.2811
592,0.2841
593,0.296
594,0.291
595,0.2872
596,0.2895
597,0.2893
598,0.2855
599,0.2887
600,0.286
601,0.291
602,0.2908
603,0.2889
604,0.286
605,0.2887
606,0.2864
607,0.2891
608,0.2862
609,0.2872
610,0.2864
611,0.2872
612,0.2901
613,0.2851
614,0.2969
615,0.2839
616,0.2922
617,0.2916
618,0.2914
619,0.2939
620,0.2891
621,0.2904
622,0.2927
623,0.2906
624,0.2899
625,0.2901
626,0.2945
627,0.2935
628,0.2891
629,0.2931
630,0.2897
631,0.2885
632,0.2927
633,0.2889
634,0.2876
635,0.2885
636,0.287
637,0.2887
638,0.286
639,0.291
640,0.2868
641,0.2931
642,0.2916
643,0.2885
644,0.291
645,0.2864
646,0.2889
647,0.295
648,0.2895
649,0.2862
650,0.2941
651,0.2925
652,0.2883
653,0.292
654,0.2922
655,0.2897
656,0.2922
657,0.2929
658,0.291
659,0.2908
660,0.2862
661,0.2899
662,0.2866
663,0.2853
664,0.2889
665,0.2862
666,0.2889
667,0.2862
668,0.2889
669,0.2855
670,0.2885
671,0.2899
672,0.2899
673,0.2893
674,0.2937
675,0.2786
676,0.2891
677,0.2872
678,0.2901
679,0.2901
680,0.2857
681,0.2916
682,0.292
683,0.2906
684,0.2906
685,0.2899
686,0.2899
687,0.2912
688,0.2885
689,0.292
690,0.2885
691,0.292
692,0.2899
693,0.2899
694,0.2908
695,0.2885
